theta,tolerance,sample,text,kf_err_to_perturbed,kf_err_to_clean,skate_ratio,jerk,ground_pen,div_from_ref
5,0.5,13,the man dances his feet in circles in front of himself.,0.11721419543027878,0.11986789107322693,0.7435897435897436,1053.986328125,0.0004466607060749084,0.23435905575752258
5,0.5,14,a person brings their left arm up and bends their elbow so it is across their stomach.,0.015236712992191315,0.03482291102409363,0.020512820512820513,140.0831298828125,0.0003479065198916942,0.029873276129364967
5,0.5,15,a man takes a big swing with his arm.,0.03971685841679573,0.051591742783784866,0.5076923076923077,562.6134643554688,6.195744936121628e-05,0.08391586691141129
5,0.2,0,a person wlowly walked by making the circle,0.1261824071407318,0.12739409506320953,0.358974358974359,417.0256652832031,0.0,0.15854977071285248
5,0.2,1,a person walks straight forward quickly,0.03800056502223015,0.04953532665967941,0.08717948717948718,137.00411987304688,0.0,0.05356661602854729
5,0.2,2,the person is holding his right arm up.,0.021096454933285713,0.03220616653561592,0.0,76.67658996582031,6.51532900519669e-05,0.029534362256526947
5,0.2,3,standing in place then walking forward.,0.039178404957056046,0.047212470322847366,0.02564102564102564,120.87924194335938,0.00014605396427214146,0.05258409306406975
5,0.2,4,the person was jogging in place.,0.03953216224908829,0.050806161016225815,0.035897435897435895,215.40408325195312,0.0,0.056923866271972656
5,0.2,5,user is pointing with left hand in multiple directions,0.026189204305410385,0.03739769756793976,0.015384615384615385,103.38658142089844,0.0002322037616977468,0.03621843829751015
5,0.2,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,0.024522380903363228,0.031935833394527435,0.0,76.35186004638672,0.002404649741947651,0.02985241636633873
5,0.2,7,a man is doing jumping jacks.,0.049297068268060684,0.06097016856074333,0.041025641025641026,239.3837432861328,0.0,0.07196545600891113
5,0.2,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,0.05607704073190689,0.06403068453073502,0.13846153846153847,278.82958984375,0.0,0.07724640518426895
5,0.2,9,"a person slowly walked backward, and sat on the knee and hands",0.041765276342630386,0.04834786802530289,0.11794871794871795,150.8318328857422,0.0045167142525315285,0.05871589481830597
